Employer_ID,City_ID,Contract_ID,StartDate,EndDate,Job_Slots,Total_Contract_Value,Applications,Apply_Start_Clicks,Click_Market_Value,Job_Listings,City_Name,State_ID,State_Name,StartMonth,EndMonth,Renewal_Flag
4277920,9767,2423796,2017-10-30,2017-11-30,15,995,215,255,15484.4,25,Kaser,NY,New York,10,11,1
2372987,8585,2074128,2017-06-29,2017-07-29,50,1495,55,70,1719.3,50,Mexico,PA,Pennsylvania,6,7,0
1142693,6665,1924740,2017-05-02,2017-06-02,15,495,45,95,1195.75,20,Seagoville,TX,Texas,5,6,0
1353893,5165,1942512,2017-05-09,2017-06-06,15,995,155,175,1197.35,20,Tyrone,PA,Pennsylvania,5,6,0
922427,3882,1380984,2016-09-19,2016-10-20,15,745,150,185,8889.7,20,Capitola,CA,California,9,10,1
1411387,4163,2436360,2017-11-01,2017-12-01,15,995,0,60,2267.15,5,West Clarkston-Highland,WA,Washington,11,12,0
1262987,6535,2881524,2018-03-20,2018-04-20,15,1495,15,20,1087.25,5,Watseka,IL,Illinois,3,4,0
1002933,1303,1453824,2016-10-17,2016-11-17,50,2995,0,540,19473.3,35,Carbon Cliff,IL,Illinois,10,11,1
4092693,1941,1998744,2017-06-01,2017-07-01,15,1495,115,210,3763.55,20,Lake Stevens,WA,Washington,6,7,1
1077040,7409,1964436,2017-05-18,2017-06-18,15,495,5,10,525.85,5,Trucksville,PA,Pennsylvania,5,6,0
1062800,5927,1964688,2017-05-18,2017-06-18,15,995,0,140,1309.9,15,McIntire,IA,Iowa,5,6,0
4843600,5390,2558580,2017-12-13,2018-01-13,50,2995,275,340,2773.85,55,West Decatur,PA,Pennsylvania,12,1,1
959840,10026,2128128,2017-07-19,2017-08-19,15,745,30,60,557.65,10,Holden,MO,Missouri,7,8,0
918640,8893,1159116,2016-06-08,2016-07-08,15,1245,460,560,15018.85,20,Hooversville,PA,Pennsylvania,6,7,1
1778267,10457,1108020,2016-05-17,2016-06-05,50,1745,590,1145,11012.6,55,Washington Park,IL,Illinois,5,6,0
1650347,2380,1179168,2016-06-14,2016-07-14,15,745,160,330,10420.6,15,Chico,CA,California,6,7,1
1113360,11026,2027544,2017-06-13,2017-07-13,15,1495,200,230,5102.95,45,Cleona,PA,Pennsylvania,6,7,0
413173,2726,1739388,2017-02-20,2017-03-20,15,995,330,285,12782.0,25,Othello,WA,Washington,2,3,0
1391493,377,1845024,2017-03-30,2017-04-30,15,745,70,235,1035.45,15,Valle Hermoso,TX,Texas,3,4,1
1524453,2560,1559496,2016-12-02,2016-12-04,15,1495,0,5,290.6,10,Timpson,TX,Texas,12,12,0
4291973,7965,2041632,2017-06-18,2017-07-18,15,745,65,100,1185.8,10,Blossburg,PA,Pennsylvania,6,7,1
3122107,4858,2054688,2017-06-22,2017-07-22,15,495,30,55,1171.35,15,Gallipolis,OH,Ohio,6,7,1
1487813,199,1912428,2017-04-27,2017-05-27,15,1245,155,185,2025.15,15,Smethport,PA,Pennsylvania,4,5,0
1034960,8294,1798596,2017-03-14,2017-04-14,15,1745,295,435,2094.7,15,Mattawana,PA,Pennsylvania,3,4,1
1752693,9172,1109820,2016-05-18,2016-06-18,50,1245,265,350,8713.4,45,Mill Creek,IL,Illinois,5,6,1
1699760,10567,1457112,2016-10-18,2016-11-18,15,495,0,0,513.3,15,Oriskany,NY,New York,10,11,1
1393013,3823,2192520,2017-08-10,2017-09-10,15,995,80,165,2697.35,10,Oakland,OR,Oregon,8,9,0
1655280,2159,1528488,2016-11-18,2016-12-18,15,495,10,50,2928.85,20,Johnstonville,CA,California,11,12,1
1448907,9261,1494420,2016-11-02,2016-12-02,15,745,65,75,1882.65,5,Amelia,OH,Ohio,11,12,1
5284133,3711,2304564,2017-09-20,2017-09-22,15,995,0,0,77.6,5,Queets,WA,Washington,9,9,0
1233067,9297,1634868,2017-01-05,2017-02-05,15,1495,495,605,14211.25,25,Lee,IL,Illinois,1,2,1
914507,6270,1646772,2017-01-11,2017-02-11,15,1245,105,90,5008.3,10,Wildwood,MO,Missouri,1,2,1
880293,639,2323140,2017-09-26,2017-10-26,15,1245,0,185,5171.35,15,Bloomington,TX,Texas,9,10,0
1884080,6998,1710168,2017-02-08,2017-03-08,15,495,160,230,4005.35,15,Riverside,IL,Illinois,2,3,1
2345387,7274,2183520,2017-08-07,2017-09-07,15,995,0,65,3741.45,15,Magnolia,IL,Illinois,8,9,0
1366080,7648,1115268,2016-05-20,2016-06-20,50,995,45,175,3696.7,60,Bloomville,OH,Ohio,5,6,0
1051413,8487,1724880,2017-02-14,2017-03-14,50,1495,70,180,2912.1,20,Chestnut Ridge,NY,New York,2,3,1
1008187,8011,1460112,2016-10-19,2016-11-19,15,1495,375,465,29054.55,15,Bellevue,TX,Texas,10,11,1
2980827,4906,1610400,2016-12-23,2017-01-23,15,495,100,100,4406.75,30,Atlantic,IA,Iowa,12,1,1
922907,8930,2511840,2017-11-28,2017-12-28,15,1495,195,320,6217.5,15,Washington,PA,Pennsylvania,11,12,1
